States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 4 1 3.62891 50 38 35 aaaaaaaaaaaaaaaaaaaaaaacabbaaTTbTaTbTb Q_PDS
32 4 2 3.625 54 31 60 aaaaaaaaaaaaaaaaaaaaaaaaaaTcacb Q_PDS
32 4 3 3.63672 65 34 60 aaaaaaaaaaaaaaaaaaaaaaaaaaTaacTTab Q_PDS
32 4 3 3.64062 77 36 43 aaaaaaaaacaaaaaaaaaaaaaaaabcbcbaaTcc Q_PDS
32 4 2 3.62109 52 31 55 aaaaaaaaaaaaaaaaaaaaaaaacabccTb Q_PDS
32 4 2 3.62109 40 37 49 aaaaaaaaaaaaaaaaaaaaaaaaTaaaTaaTbTccc Q_PDS
32 4 2 3.62109 66 34 38 aaaaaaaaaaaaaaaaaaaaaaaTaaaTccTbTc Q_PDS
32 4 74 3.89062 542 32 334 aaaaaaaaaaaaaaaaaaaaaaaaacbcbTcb Q_PDS
32 4 2 3.63672 50 37 47 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTbbTcaTac Q_PDS
32 4 2 3.62109 33 31 52 aaaaaaaaaaaaaaaaaaaaaaaaaaaaabb Q_PDS
32 4 2 3.625 49 34 37 aaaaaaTaaaaaaaaaaaaTaaaaaaaaaacbTc Q_PDS
32 4 6 3.65625 130 32 75 aaaaaaaaaaaaaaaaaaaaaaaaaabbcTbc Q_PDS
32 4 3 3.65234 81 36 51 aaaaaaaacaaaaaaaaaaaaaaaaabbaaaacTcc Q_PDS
32 4 4 3.64453 86 35 61 aaaaaaaaaaaaaaaaaaacaaaaaabTTababcb Q_PDS
32 4 3 3.62109 50 35 59 aaaaaaaaaaaaaaaaaaaaaaaaaTTabaTbbbb Q_PDS
32 4 3 3.63672 75 30 56 aaaaaaaaaaaaaaaaaaaaaaaaaaacbc Q_PDS
32 4 4 3.63672 88 36 67 aaaaaaaaaaaaaaaaacaaaaaaaaabcbcTabab Q_PDS
32 4 4 3.64062 85 33 57 aaaaaaaaaaaaaaaaaaaaabaaacccbbTab Q_PDS
32 4 2 3.63281 51 35 48 aaaaaaaaaaaaaaaaaaaaaaaaaaTbacTacac Q_PDS
32 4 1656 4.625 2687 34 2370 aaaaaaaaaaaaaaaaaaaaaaacacbaaacaac Q_PDS
32 4 4 4.00391 98 37 45 aaaaaaaaaaaaaaaaaaaaaaaacacTcTaTTbcba Q_PDS
32 4 4 3.70312 69 35 51 aaaaaaaaaaaaaaaaaaaacaaaaaacccbTbac Q_PDS
32 4 3 3.69531 65 40 38 aaaaaaaaaaaaaaaaaaaaaaaaaaaTbTaacTaaacaa Q_PDS
32 4 11 3.74609 182 35 89 aaaaaaaaaaaaaaaaaaaaaacaaacaacbcaab Q_PDS
32 4 39 3.73828 198 33 369 aaaaaaaaaaaaaaaaaaaaaaaacaaaTabcb Q_PDS
32 4 4 3.71094 70 39 26 aaaaaaaaaaaaaaaaaaaaaaaccabbTaaaaaTaTcc Q_PDS
32 4 21 3.69922 90 31 220 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaab Q_PDS
32 4 6 3.72656 114 30 76 aaaaaaaaaaaaaaaaaaaaacabbbcacb Q_PDS
32 4 6 3.74219 139 30 58 aaaaaaaaaaaaaaaaaaaaaaaTacbbbb Q_PDS
32 4 3 3.71484 80 32 45 aaaaaaaaaaaaaaaaaaaaaaaaaabcabTc Q_PDS
32 4 274 4.05078 756 32 1404 aaaaaaaaaaaaaaaaaaaaaaaccbcacabb Q_PDS
32 4 8 3.75781 145 30 72 aaaaaaaaaaaaaaaaaaaaaaaabbcccb Q_PDS
32 4 3 3.71484 84 39 34 aaaaaaaaaaaaaaaaaaaaaaaaaTTTbaTabaTTbac Q_PDS
32 4 4 3.72266 85 35 63 aaaaaaaaaaaaaaaaaaaaaaaaaaccTaacTcb Q_PDS
32 4 34 3.79688 311 35 223 aaaaaaaaaaaaaaaaaaaaaaabaaaacbcTcbc Q_PDS
32 4 5 3.72656 101 35 82 aaaaaaaaaaaaaaaaaaaaaaaaaacacTbaTac Q_PDS
32 4 21 3.78125 266 32 138 aaaaaaaaaaaaaaaaaaaaaaabbabaTacb Q_PDS
32 4 3 3.71484 80 47 44 aaaaaaacaaaaaaaaaaaaaaaaaccaabTcabcababTacaaTab Q_PDS
32 4 3 3.70703 74 35 45 aaaaaaaaaTaaaaaaaaaaaaaaaaaccTaacTc Q_PDS
32 4 3 3.70312 81 35 55 aaaaaaaaaaaaaaaaaaaaaaaaTabTabTTcab Q_PDS
32 4 4 3.70312 69 31 67 aaaaaaaaaaaaaaaaaaaaaaaaaaaaacc Q_PDS
32 4 4 3.71875 96 41 58 aaaaaaaaaaaaaaaaaaaaaaaaaabTcaTbaTccacabc Q_PDS
32 4 3 3.69141 63 37 65 aaaaaaaaaaaaaaaaaaaaaacaaaaaaaTcTccac Q_PDS
32 4 2 3.69141 35 37 45 aTaaaaaaaaaaaaaaaaaaaaaaaaaaaacaaTbTb Q_PDS
32 4 2 3.6875 42 32 50 aaaaaaaaaaaaaaaaaaaaaaaabacbcacc Q_PDS
32 4 2 3.6875 47 31 46 aaaaaaaaaaaaaaaaaaaaaaaaaabbacc Q_PDS
32 4 3 3.71875 73 34 59 aaaaaaaaaaaaaaaaaaaaaaaTabTbTcbTcc Q_PDS
32 4 70 3.87891 320 37 534 aaaaaaaaaaaaaaaaaaaaaaaaaTaaaabTbaTcc Q_PDS
32 4 3 3.72656 87 32 55 aaaaaaaaaaaaaaaaaaaaaaaaaaaTabTc Q_PDS
32 4 29 3.76562 192 32 202 aaaaaTaaaaaaaaaaaaaaaaaaababbbcb Q_PDS
32 5 4 3.72656 73 30 61 aaaaaaaaaaaaaaaaaaaaaaaaaaaccd Q_PDS
32 5 250 4.14844 1005 31 1051 aaaaaaaaaaaaaaaaaaaaaaaaaaaTTab Q_PDS
32 5 66 3.89453 398 33 391 aaaaTaaaaaaaaaaaaaaaaaaaadcaabbac Q_PDS
32 5 3 3.76172 63 32 74 aaaacaaaaaaaaaaaaaaaaaaaaacaacab Q_PDS
32 5 3 3.76172 63 34 63 aaaaaaaaaaaaaaaaaaaaaaaaTcabadbabd Q_PDS
32 5 6 3.76562 109 31 80 aaaaaaaaaaaaaaaaaaaaaabaacbccdc Q_PDS
32 5 206 3.97656 691 31 930 aadaaaaaaaaaaaaaaaaaaacccadcacb Q_PDS
32 5 5 3.77344 72 31 95 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaad Q_PDS
32 5 1125 4.57422 1738 33 4739 aaaaaaaaaaaaaaaaaaaaacbcbcacaddTb Q_PDS
32 5 6 3.78516 69 30 85 aaaaaaaaaaaaaaaaaaaaaaaaadabcc Q_PDS
32 5 107 3.98828 533 28 478 aaaaaaaaaaaaaaaaaaaaaabbTddd Q_PDS
32 5 7 3.78516 74 35 77 aaaaaaaaaaaaaaaaaaaaaaaaaaccccaTddb Q_PDS
