Episodes Task Normalised_Cummulative_Reward
9 Q(RS) 0.83776
10 Q(RS) 0.77103
11 Q(RS) 0.87610
12 Q(RS) 0.83070
13 Q(RS) 0.79779
14 Q(RS) 0.96842
15 Q(RS) 0.91093
16 Q(RS) 0.63179
17 Q(RS) 0.98872
18 Q(RS) 0.97020
19 Q(RS) 0.91659
20 Q(RS) 0.99814
21 Q(RS) 0.89439
22 Q(RS) 0.99421
23 Q(RS) 0.70594
24 Q(RS) 0.81675
25 Q(RS) 0.94579
26 Q(RS) 0.94097
27 Q(RS) 0.84373
28 Q(RS) 0.81607
29 Q(RS) 0.90165
30 Q(RS) 0.99944
31 Q(RS) 0.89623
32 Q(RS) 0.99696
33 Q(RS) 0.98941
34 Q(RS) 0.79788
35 Q(RS) 0.98940
36 Q(RS) 0.87450
37 Q(RS) 0.98998
38 Q(RS) 0.99623
39 Q(RS) 0.99880
40 Q(RS) 0.92322
41 Q(RS) 0.89835
42 Q(RS) 0.92101
43 Q(RS) 0.90054
44 Q(RS) 0.99873
45 Q(RS) 0.89755
46 Q(RS) 0.98327
47 Q(RS) 0.99682
48 Q(RS) 0.97145
49 Q(RS) 0.96336
50 Q(RS) 0.99986
51 Q(RS) 0.91087
52 Q(RS) 0.88292
53 Q(RS) 0.99366
54 Q(RS) 1.00434
55 Q(RS) 0.92812
56 Q(RS) 0.86510
57 Q(RS) 0.89348
58 Q(RS) 0.93798
59 Q(RS) 0.87154
60 Q(RS) 0.96904
61 Q(RS) 0.96960
62 Q(RS) 0.87755
63 Q(RS) 0.94862
64 Q(RS) 0.88278
65 Q(RS) 0.99592
66 Q(RS) 0.96629
67 Q(RS) 0.97946
68 Q(RS) 0.90391
69 Q(RS) 0.99813
70 Q(RS) 0.96299
71 Q(RS) 0.95324
72 Q(RS) 0.96852
73 Q(RS) 0.96315
74 Q(RS) 1.00470
75 Q(RS) 0.94997
76 Q(RS) 1.00231
77 Q(RS) 0.89349
78 Q(RS) 0.94886
79 Q(RS) 0.95279
80 Q(RS) 0.96537
81 Q(RS) 0.96492
82 Q(RS) 0.99989
83 Q(RS) 0.91221
84 Q(RS) 0.94254
85 Q(RS) 0.95333
86 Q(RS) 0.95289
87 Q(RS) 0.96958
88 Q(RS) 0.92672
89 Q(RS) 0.96568
90 Q(RS) 0.93173
91 Q(RS) 1.00070
92 Q(RS) 0.95680
93 Q(RS) 0.98695
94 Q(RS) 0.96981
95 Q(RS) 0.99733
96 Q(RS) 1.00065
97 Q(RS) 0.99777
98 Q(RS) 0.94872
99 Q(RS) 1.00155
100 Q(RS) 1.00154
1 Q(RS) 0.00000
2 Q(RS) 0.54364
3 Q(RS) 0.57541
4 Q(RS) 0.89044
5 Q(RS) 0.64914
6 Q(RS) 0.81743
7 Q(RS) 0.91775
8 Q(RS) 0.90088
9 Q(RS) 0.96044
10 Q(RS) 0.95729
